Topic 1
0.114 "time"
0.114 "little"
0.088 "streets"
0.088 "look"
0.088 "crowds"
0.088 "land"
0.088 "city"
0.055 "high"
0.055 "men"
0.055 "warehouses"
Topic 2
0.067 "crowds"
0.067 "city"
0.067 "come"
0.067 "time"
0.067 "look"
0.067 "thousands"
0.067 "men"
0.067 "little"
0.067 "warehouses"
0.067 "water"
Topic 3
0.067 "city"
0.067 "thousands"
0.067 "land"
0.067 "come"
0.067 "crowds"
0.067 "streets"
0.067 "look"
0.067 "little"
0.067 "time"
0.067 "high"
Topic 4
0.196 "thousands"
0.090 "ocean"
0.090 "city"
0.090 "high"
0.090 "men"
0.090 "ships"
0.040 "little"
0.040 "land"
0.039 "time"
0.039 "streets"
Topic 5
0.150 "water"
0.149 "come"
0.074 "land"
0.073 "crowds"
0.073 "look"
0.073 "ships"
0.073 "warehouses"
0.073 "streets"
0.037 "city"
0.037 "thousands"
